Algorithm,Parameters,Dataset,Fold,Description,Precision,Recall,F-measure,AUC,G-mean
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 10.0}",pima,3,Preliminary,0.584507,0.619403,0.601449,0.691701,0.687913
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.001}",pima,3,Preliminary,0.556962,0.656716,0.60274,0.688358,0.687631
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 1.0}",pima,3,Preliminary,0.616,0.574627,0.594595,0.691313,0.681395
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 1.0}",pima,4,Preliminary,0.671756,0.656716,0.664151,0.742358,0.737402
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.1}",pima,4,Preliminary,0.624161,0.69403,0.657244,0.735015,0.733871
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 10.0}",pima,3,Preliminary,0.593103,0.641791,0.616487,0.702896,0.700235
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.001}",pima,3,Preliminary,0.613139,0.626866,0.619926,0.707433,0.70283
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 10.0}",pima,1,Preliminary,0.639098,0.634328,0.636704,0.721164,0.715917
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 1.0}",pima,3,Preliminary,0.627737,0.641791,0.634686,0.718896,0.714749
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.1}",pima,1,Preliminary,0.585987,0.686567,0.632302,0.713284,0.712783
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 1.0}",pima,1,Preliminary,0.628571,0.656716,0.642336,0.724358,0.721193
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.01}",pima,3,Preliminary,0.605442,0.664179,0.633452,0.71609,0.714206
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.1}",pima,3,Preliminary,0.62069,0.671642,0.645161,0.725821,0.723796
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 1.0}",pima,1,Preliminary,0.552239,0.552239,0.552239,0.656119,0.647844
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.1}",pima,1,Preliminary,0.607692,0.589552,0.598485,0.692776,0.685043
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 10.0}",pima,1,Preliminary,0.603175,0.567164,0.584615,0.683582,0.673596
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 1.0}",pima,4,Preliminary,0.587097,0.679104,0.629758,0.711552,0.710812
